Parametros,	pH,	Conductividad, Turbidez, Coliformes, Temperatura, Precipitaciones, tanto_en__sal, Potabilidad
Fuente_1	6   	100     1       0 13    415     44.08     99.5
Fuente_2	7.2	158	0	0 8     400     44.10     99.3     
Fuente_3	6.95	269	0	0 8     390     45.02     99.2     
Fuente_4	7.75	239	0	0 10    420     43.80     98.9
Fuente_5	7.04	194	0	0 12    405     44.70     99.1
Fuente_6	6.66	163	0	0 14    420     43.80     99.6
Fuente_7	7.46	281	5	1 17    415     44.56     98.8
Fuente_8	7.56	161	3	1 20    550     44.32     99.3
Fuente_9	7.94	121	2	0 17    401     39.89     99.6
Fuente_10	7.83	103	0	0 20    420     43.90     98.6
Fuente_11	7.16	200	0	0 19    389     42.95     98.7
Fuente_12	7.46	214	0	0 17    404     45.20     99.5
Fuente_13	7.35	116	0	0 8     415     44.05     99.4
Fuente_14	6.94	117	1	1 8     400     44.12     99.7
Fuente_15	6.83	112	1	0 13    390     43.99     99.3
Fuente_16	6.92	108	1	0 10    420     43.56     99.4
Fuente_17	7.38	203	10	2 12    405     44.10     99.6
Fuente_18	7.47	269	5	1 14    420     44.25     99.3
Fuente_19	7.67	244	4	1 17    415     44.08     99.7
Fuente_20	7.39	219	0	0 20    550     44.08     99.5
Fuente_21	7.29	201	0	0 19    401     45.03     99.1
Fuente_22	7.49	121	0	0 17    420     44.23     99.3
Fuente_23	6.59	141	1	0 19    385     44.07     99.4
Fuente_24	7.49	166	0	0 14    367     44.06     99.5
Fuente_25	7.37	173	0	0 16    415     44.25     99.5

